city,country,name,latitude,longitude,slots
Turku,FI,eCargo bikes: Kauppatori,60.4517639,22.2682669,4
Turku,FI,Linnankatu,60.4510608,22.2715937,8
Turku,FI,Yo-kylä 15-16,60.4633348,22.2966164,8
Turku,FI,Logomonsilta,60.4555289,22.2589904,20
Turku,FI,Kirjurinaukio,60.4336901,22.3467429,12
Turku,FI,Neitsytpolku,60.4428549,22.2683829,10
Turku,FI,Teräsrautela,60.477176,22.2358504,5
Turku,FI,Mikonkatu,60.4466009,22.2497267,5
Turku,FI,Nosturinkatu,60.4440464,22.2325328,15
Turku,FI,Kaivokatu,60.4524047,22.2843581,10
Turku,FI,Biolinja,60.4311445,22.3287966,3
Turku,FI,Logomo,60.4570242,22.2598486,20
Turku,FI,Kaskentie,60.4422129,22.279277,4
